Surname,Name,Country,Position,Club,Age,SquadNo,Games Played,MinsPlayed,Goals,GoalsConceded,YCards,RCards
Florian,Neuhaus,GER,Midfielder,Mönchengladbach,24,17,0,0,0,0,0,0
Leon,Goretzka,GER,Midfielder,Bayern,26,18,0,0,0,0,0,0
Leroy,Sané,GER,Midfielder,Bayern,25,19,1,16,0,0,0,0
İlkay,Gündoğan,GER,Midfielder,Man. City,30,21,1,90,0,0,0,0
Kai,Havertz,GER,Forward,Chelsea,22,7,1,74,0,0,0,0
Kevin,Volland,GER,Forward,Monaco,28,9,1,2,0,0,0,0
Timo,Werner,GER,Forward,Chelsea,25,11,1,16,0,0,0,0
Thomas,Müller,GER,Forward,Bayern,31,25,1,90,0,0,0,0
Péter,Gulácsi,HUN,Goalkeeper,Leipzig,31,1,1,90,0,4,0,0
Dénes,Dibusz,HUN,Goalkeeper,Ferencváros,30,12,0,0,0,0,0,0
Ádám,Bogdán,HUN,Goalkeeper,Ferencváros,33,22,0,0,0,0,0,0
Ádám,Lang,HUN,Defender,Omonoia,28,2,0,0,0,0,0,0
Ákos,Kecskés,HUN,Defender,Lugano,25,3,0,0,0,0,0,0
Attila,Szalai,HUN,Defender,Fenerbahçe,23,4,1,90,0,0,0,0
Attila,Fiola,HUN,Defender,Fehérvár,31,5,1,88,0,0,0,0
Willi,Orbán,HUN,Defender,Leipzig,28,6,1,90,0,0,1,0
Loïc,Négo,HUN,Defender,Fehérvár,30,7,1,25,0,0,1,0
Gergő,Lovrencsics,HUN,Defender,Ferencváros,32,14,1,90,0,0,0,0
Endre,Botka,HUN,Defender,Ferencváros,26,21,1,90,0,0,0,0
Bendegúz,Bolla,HUN,Defender,Fehérvár,21,26,0,0,0,0,0,0
Ádám,Nagy,HUN,Midfielder,Bristol City,25,8,1,88,0,0,0,0
Tamás,Cseri,HUN,Midfielder,Mezőkövesd,33,10,0,0,0,0,0,0
András,Schäfer,HUN,Midfielder,Dunajská Streda,22,13,1,65,0,0,0,0
László,Kleinheisler,HUN,Midfielder,Osijek,27,15,1,78,0,0,0,0
Dániel,Gazdag,HUN,Midfielder,Philadelphia Union,25,16,0,0,0,0,0,0
Roland,Varga,HUN,Midfielder,MTK,31,17,1,2,0,0,0,0
Dávid,Sigér,HUN,Midfielder,Ferencváros,30,18,1,12,0,0,0,0
Kevin,Varga,HUN,Midfielder,Kasımpaşa,25,19,1,2,0,0,0,0
Ádám,Szalai,HUN,Forward,Mainz,33,9,1,90,0,0,0,0
Filip,Holender,HUN,Forward,Lugano,26,11,0,0,0,0,0,0
Roland,Sallai,HUN,Forward,Freiburg,24,20,1,77,0,0,0,0
Nemanja,Nikolić,HUN,Forward,Fehérvár,33,23,0,0,0,0,0,0
Szabolcs,Schön,HUN,Forward,FC Dallas,20,24,1,13,0,0,0,0
János,Hahn,HUN,Forward,Paks,26,25,0,0,0,0,0,0
Salvatore,Sirigu,ITA,Goalkeeper,Torino,34,1,0,0,0,0,0,0
Gianluigi,Donnarumma,ITA,Goalkeeper,Milan,22,21,2,180,0,1,0,0
Alex,Meret,ITA,Goalkeeper,Napoli,24,26,0,0,0,0,0,0
